Country,Citizen,Not_Citizen,Not_Stated,Total
"Americas, nfd",3,0,5,8
Anguilla,0,0,0,7
Antigua and Barbuda,33,13,0,52
Argentina,11685,6188,98,17977
Aruba,45,13,0,64
Bahamas,204,54,0,265
Barbados,297,76,0,378
Belize,59,16,0,74
Bermuda,418,123,0,541
Bolivia,784,218,5,1001
"Bonaire, Sint Eustatius and Saba",4,0,0,3
Brazil,14785,31806,130,46720
Canada,31708,18328,187,50223
"Caribbean, nfd",109,27,0,143
Cayman Islands,121,24,0,149
"Central America, nfd",10,4,0,14
Chile,20819,8841,196,29860
Colombia,11725,23205,100,35033
Costa Rica,377,185,0,559
Cuba,575,270,8,849
Curacao,85,46,0,130
Dominica,19,9,0,28
Dominican Republic,126,100,8,234
Ecuador,1665,855,16,2535
El Salvador,9493,586,44,10119
Falkland Is.,54,18,3,78
French Guiana,9,7,0,16
Grenada,111,16,0,129
Guadeloupe,16,8,0,24
Guatemala,368,205,4,577
Guyana,464,68,4,535
Haiti,65,36,0,104
Honduras,217,151,0,370
Jamaica,867,276,7,1148
Martinique,20,9,0,32
Mexico,3407,3406,38,6845
Montserrat,8,0,0,10
Nicaragua,715,77,8,804
"Northern America, nfd",33,15,0,46
Panama,176,113,0,285
Paraguay,353,144,3,503
Peru,8237,3238,57,11531
Puerto Rico,96,92,3,194
Sint Maarten (Dutch part),3,6,0,6
"South America, nec",0,0,0,0
"South America, nfd",279,39,7,324
St Barthelemy,0,0,0,0
St Kitts and Nevis,24,16,0,40
St Lucia,47,20,0,63
St Martin (French part),0,0,0,0
St Pierre and Miquelon,0,0,0,0
St Vincent and the Grenadines,38,16,0,53
Suriname,89,46,0,141
Trinidad and Tobago,1357,254,0,1616
Turks and Caicos Islands,0,0,0,3
United States of America,61930,38971,403,101309
Uruguay,8271,807,126,9205
Venezuela,4032,2575,21,6627
"Virgin Islands, British",12,3,0,16
"Virgin Islands, United States",17,5,0,20
,,,,
Angola,422,78,6,511
Benin,73,6,0,84
Botswana,831,601,0,1433
Burkina Faso,37,21,0,54
Burundi,1580,1101,30,2711
Cabo Verde,31,7,0,38
Cameroon,303,219,0,520
Central African Republic,23,109,0,128
"Central and West Africa, nfd",91,36,0,126
Chad,43,44,0,86
Comoros,19,0,0,23
"Congo, Democratic Republic of",2849,3226,74,6148
"Congo, Republic of",898,1243,47,2193
Cote d'Ivoire,418,163,7,588
Djibouti,144,31,5,180
Equatorial Guinea,7,12,0,14
Eritrea,3628,1951,57,5629
Eswatini,245,76,5,324
Ethiopia,9611,4348,129,14092
Gabon,25,22,0,47
Gambia,78,36,3,114
Ghana,4120,2137,61,6322
Guinea,674,256,10,941
Guinea-Bissau,12,4,0,15
Kenya,13788,8339,216,22348
Lesotho,102,36,0,134
Liberia,2467,661,60,3187
Madagascar,192,113,0,311
Malawi,968,524,5,1503
Mali,28,16,0,46
Mauritania,31,8,0,39
Mauritius,21096,4731,148,25981
Mayotte,0,0,0,0
Mozambique,735,176,11,914
Namibia,1093,437,4,1535
Niger,19,13,0,31
Nigeria,5997,6774,111,12883
Reunion,125,56,0,182
Rwanda,655,402,7,1064
Sao Tome and Principe,18,3,0,21
Senegal,357,64,4,423
Seychelles,2288,183,36,2502
Sierra Leone,2945,653,53,3651
Somalia,5560,2414,128,8101
South Africa,143432,44965,814,189207
"Southern and East Africa, nec",0,0,11,11
"Southern and East Africa, nfd",284,38,0,319
St Helena,24,14,0,34
"Sub-Saharan Africa, nfd",0,0,0,0
Tanzania,3186,1144,37,4371
Togo,249,50,3,300
Uganda,2930,1180,55,4163
Zambia,5210,1599,40,6847
Zimbabwe,29955,9539,225,39714
